Date,Rate,High (est),Low (est)
1994-10-18,1.44222,1.4588,1.4258
1994-10-19,1.44363,1.4605,1.4269999999999998
1994-10-20,1.44469,1.4612,1.4284
1994-10-21,1.44469,0.0,0.0
1994-10-24,1.4464,0.0,0.0
1994-10-25,1.4479,1.4649,1.4311
1994-10-26,1.45025,1.4669,1.4338
1994-10-27,1.45025,0.0,0.0
1994-10-28,1.45025,0.0,0.0
1994-10-31,1.44801,1.4653,1.4309
1994-11-01,1.44678,0.0,0.0
1994-11-02,1.44916,1.466,1.4325
1994-11-03,1.4490299999999998,0.0,0.0
1994-11-04,1.44625,1.4628,1.4299
1994-11-07,1.4437799999999998,1.4604,1.4274
1994-11-08,1.4437799999999998,0.0,0.0
1994-11-09,1.4437799999999998,0.0,0.0
1994-11-10,1.4417,0.0,0.0
1994-11-11,1.43966,1.4556,1.4238
1994-11-14,1.4363,1.4531,1.4196
1994-11-15,1.4341,1.4511,1.4173
1994-11-16,1.43041,1.4479,1.4131
1994-11-17,1.42925,1.4469,1.4118
1994-11-18,1.43031,1.4481,1.4127
1994-11-21,1.42935,1.4469,1.4121
1994-11-22,1.42925,1.4469,1.4118
1994-11-23,1.43031,1.4481,1.4127
1994-11-24,1.4299899999999999,1.4477,1.4125
1994-11-25,1.42896,1.4465,1.4117
1994-11-28,1.42736,1.4431,1.4118
1994-11-29,1.42736,0.0,0.0
1994-11-30,1.4258899999999999,1.4431,1.4089
1994-12-01,1.42489,0.0,0.0
1994-12-02,1.42489,0.0,0.0
1994-12-05,1.4219600000000001,1.4387,1.4055
1994-12-06,1.4219600000000001,0.0,0.0
1994-12-07,1.42172,0.0,0.0
1994-12-08,1.42371,0.0,0.0
1994-12-09,1.42371,0.0,0.0
1994-12-12,1.4232799999999999,0.0,0.0
1994-12-13,1.4232799999999999,0.0,0.0
1994-12-14,1.4232799999999999,0.0,0.0
1994-12-15,1.4232799999999999,0.0,0.0
1994-12-16,1.4232799999999999,0.0,0.0
1994-12-19,1.42188,0.0,0.0
1994-12-20,1.42188,0.0,0.0
1994-12-21,1.42211,0.0,0.0
1994-12-22,1.42123,1.4379,1.4047
1994-12-23,1.42123,0.0,0.0
1994-12-26,1.42123,0.0,0.0
1994-12-27,1.42123,0.0,0.0
1994-12-28,1.42123,0.0,0.0
1994-12-29,1.42123,0.0,0.0
1994-12-30,1.42123,0.0,0.0
1995-01-02,1.42429,1.44,1.4087
1995-01-03,1.4258899999999999,1.4431,1.4089
1995-01-04,1.42425,1.4402,1.4085
1995-01-05,1.42425,0.0,0.0
1995-01-06,1.42411,0.0,0.0
1995-01-09,1.42265,0.0,0.0
1995-01-10,1.42467,1.4404,1.4091
1995-01-11,1.4272,0.0,0.0
1995-01-12,1.42824,1.4457,1.411
1995-01-13,1.42824,0.0,0.0
1995-01-16,1.43124,1.4488,1.4139
1995-01-17,1.4319899999999999,1.4498,1.4144
1995-01-18,1.4319899999999999,0.0,0.0
1995-01-19,1.4310200000000002,1.4488,1.4134
1995-01-20,1.4310200000000002,0.0,0.0
1995-01-23,1.4333,1.4501,1.4167
1995-01-24,1.4333,0.0,0.0
1995-01-25,1.4333,0.0,0.0
1995-01-26,1.4341,1.4511,1.4173
1995-01-27,1.43306,1.4506,1.4157
1995-01-30,1.43306,0.0,0.0
1995-01-31,1.43403,1.4509,1.4174
1995-02-01,1.43345,1.4509999999999998,1.4161
1995-02-02,1.43006,1.4476,1.4128
1995-02-03,1.43006,0.0,0.0
1995-02-06,1.42612,0.0,0.0
1995-02-07,1.42612,0.0,0.0
1995-02-08,1.42388,1.4398,1.4081
1995-02-09,1.42388,0.0,0.0
1995-02-10,1.42411,0.0,0.0
1995-02-13,1.4258,1.4415,1.4102
1995-02-14,1.4258,0.0,0.0
1995-02-15,1.4278899999999999,1.4454,1.4106
1995-02-16,1.42954,1.4455,1.4137
1995-02-17,1.43049,1.4483,1.4129
1995-02-20,1.4358,1.4518,1.42
1995-02-21,1.43754,1.4552,1.4201
1995-02-22,1.43811,1.4541,1.4223
1995-02-23,1.43754,1.4552,1.4201
1995-02-24,1.43754,0.0,0.0
1995-02-27,1.43811,1.4541,1.4223
1995-02-28,1.43811,0.0,0.0
1995-03-01,1.43953,1.4563,1.4229
1995-03-02,1.44052,0.0,0.0
1995-03-03,1.44052,0.0,0.0
1995-03-06,1.4448,0.0,0.0
1995-03-07,1.45129,1.4694,1.4334
1995-03-08,1.4561899999999999,1.4737,1.4389
1995-03-09,1.4590100000000001,1.4753,1.4429
1995-03-10,1.45571,1.4739,1.4377
1995-03-13,1.45157,1.4678,1.4355
1995-03-14,1.4510299999999998,1.4677,1.4346
1995-03-15,1.4510299999999998,0.0,0.0
1995-03-16,1.45276,1.4709,1.4348
1995-03-17,1.45484,1.4722,1.4377
1995-03-20,1.45497,1.4718,1.4383
1995-03-21,1.45319,1.4706,1.436
1995-03-22,1.45107,1.4679,1.4344
1995-03-23,1.45107,0.0,0.0
1995-03-24,1.45099,1.4676,1.4345
1995-03-27,1.4488,0.0,0.0
1995-03-28,1.4485,0.0,0.0
1995-03-29,1.45203,1.4702,1.4341
1995-03-30,1.45203,0.0,0.0
1995-03-31,1.45203,0.0,0.0
1995-04-03,1.4561899999999999,1.4737,1.4389
1995-04-04,1.46036,0.0,0.0
1995-04-05,1.45925,1.4768,1.4419
1995-04-06,1.46036,0.0,0.0
1995-04-07,1.46004,0.0,0.0
1995-04-10,1.4581,1.4756,1.4408
1995-04-11,1.45497,1.4731,1.4369999999999998
1995-04-12,1.45497,0.0,0.0
1995-04-13,1.45484,1.4722,1.4377
1995-04-14,1.45484,0.0,0.0
1995-04-17,1.45822,1.4745,1.4421
1995-04-18,1.46259,1.4798,1.4456
1995-04-19,1.46678,0.0,0.0
1995-04-20,1.46252,0.0,0.0
1995-04-21,1.45676,1.4742,1.4395
1995-04-24,1.45822,1.4745,1.4421
1995-04-25,1.45571,1.4739,1.4377
1995-04-26,1.45484,1.4722,1.4377
1995-04-27,1.45484,0.0,0.0
1995-04-28,1.45484,0.0,0.0
1995-05-01,1.45039,0.0,0.0
1995-05-02,1.45039,0.0,0.0
1995-05-03,1.4485,0.0,0.0
1995-05-04,1.4485,0.0,0.0
1995-05-05,1.4485,0.0,0.0
1995-05-08,1.45062,1.4673,1.4342
1995-05-09,1.45062,0.0,0.0
1995-05-10,1.45062,0.0,0.0
1995-05-11,1.45062,0.0,0.0
1995-05-12,1.4432399999999999,0.0,0.0
1995-05-15,1.4319,1.4494,1.4146
1995-05-16,1.43124,1.4488,1.4139
1995-05-17,1.4314,1.4492,1.4138
1995-05-18,1.42935,1.4469,1.4121
1995-05-19,1.42935,0.0,0.0
1995-05-22,1.42935,0.0,0.0
1995-05-23,1.42935,0.0,0.0
1995-05-24,1.42935,0.0,0.0
1995-05-25,1.42935,0.0,0.0
1995-05-26,1.42935,0.0,0.0
1995-05-29,1.44013,0.0,0.0
1995-05-30,1.43785,1.4554,1.4205
1995-05-31,1.44169,0.0,0.0
1995-06-01,1.44048,1.4582,1.423
1995-06-02,1.44201,1.4585,1.4257
1995-06-05,1.4412399999999999,1.4573,1.4254
1995-06-06,1.43754,1.4552,1.4201
1995-06-07,1.43754,0.0,0.0
1995-06-08,1.43553,1.4524,1.4189
1995-06-09,1.4385700000000001,0.0,0.0
1995-06-12,1.43966,1.4556,1.4238
1995-06-13,1.4414799999999999,1.4581,1.4251
1995-06-14,1.4414200000000001,0.0,0.0
1995-06-15,1.44008,1.4569,1.4235
1995-06-16,1.44008,0.0,0.0
1995-06-19,1.44185,1.4584,1.4255
1995-06-20,1.44185,0.0,0.0
1995-06-21,1.4456,0.0,0.0
1995-06-22,1.4456,0.0,0.0
1995-06-23,1.4456,0.0,0.0
1995-06-26,1.4458799999999998,1.4624,1.4296
1995-06-27,1.4437799999999998,1.4604,1.4274
1995-06-28,1.4437799999999998,0.0,0.0
1995-06-29,1.44045,1.4565,1.4246
1995-06-30,1.44045,0.0,0.0
1995-07-03,1.4414799999999999,1.4581,1.4251
1995-07-04,1.4414799999999999,0.0,0.0
1995-07-05,1.4414799999999999,0.0,0.0
1995-07-06,1.4414799999999999,0.0,0.0
1995-07-07,1.4414799999999999,0.0,0.0
1995-07-10,1.4378,1.4547,1.4211
1995-07-11,1.4378,0.0,0.0
1995-07-12,1.43345,1.4509999999999998,1.4161
1995-07-13,1.43345,0.0,0.0
1995-07-14,1.43345,0.0,0.0
1995-07-17,1.4314,1.4492,1.4138
1995-07-18,1.4314,0.0,0.0
1995-07-19,1.4333,1.4501,1.4167
1995-07-20,1.4360899999999999,1.4538,1.4186
1995-07-21,1.4360899999999999,0.0,0.0
1995-07-24,1.43416,1.4517,1.4168
1995-07-25,1.43403,1.4509,1.4174
1995-07-26,1.43345,1.4509999999999998,1.4161
1995-07-27,1.43345,0.0,0.0
1995-07-28,1.43345,0.0,0.0
1995-07-31,1.43345,0.0,0.0
1995-08-01,1.43345,0.0,0.0
1995-08-02,1.4314,1.4492,1.4138
1995-08-03,1.42816,1.4439,1.4126
1995-08-04,1.42816,0.0,0.0
1995-08-07,1.42533,0.0,0.0
1995-08-08,1.4232799999999999,0.0,0.0
1995-08-09,1.4232799999999999,0.0,0.0
1995-08-10,1.4232799999999999,0.0,0.0
1995-08-11,1.4232799999999999,0.0,0.0
1995-08-14,1.4175799999999998,0.0,0.0
1995-08-15,1.4175799999999998,0.0,0.0
1995-08-16,1.4058,1.4215,1.3903
1995-08-17,1.4058,0.0,0.0
1995-08-18,1.4058,0.0,0.0
1995-08-21,1.4058,0.0,0.0
1995-08-22,1.4058,0.0,0.0
1995-08-23,1.4058,0.0,0.0
1995-08-24,1.40188,1.4188,1.3852
1995-08-25,1.40188,0.0,0.0
1995-08-28,1.40378,1.4194,1.3883
1995-08-29,1.40378,0.0,0.0
1995-08-30,1.4032799999999999,1.4202,1.3866
1995-08-31,1.40378,1.4194,1.3883
1995-09-01,1.40378,0.0,0.0
1995-09-04,1.40574,0.0,0.0
1995-09-05,1.40525,1.4209,1.3898
1995-09-06,1.4032799999999999,1.4202,1.3866
1995-09-07,1.40135,1.4169999999999998,1.3859
1995-09-08,1.40135,0.0,0.0
1995-09-11,1.40135,0.0,0.0
1995-09-12,1.3993799999999998,0.0,0.0
1995-09-13,1.39744,0.0,0.0
1995-09-14,1.39543,1.4119,1.3791
1995-09-15,1.39543,0.0,0.0
1995-09-18,1.39543,0.0,0.0
1995-09-19,1.39593,0.0,0.0
1995-09-20,1.39593,0.0,0.0
1995-09-21,1.39913,1.4148,1.3837
1995-09-22,1.39913,0.0,0.0
1995-09-25,1.40425,0.0,0.0
1995-09-26,1.4058899999999999,0.0,0.0
1995-09-27,1.40424,1.4205,1.3882
1995-09-28,1.40412,1.4197,1.3887
1995-09-29,1.40574,0.0,0.0
1995-10-02,1.4058899999999999,0.0,0.0
1995-10-03,1.40488,1.4205,1.3894
1995-10-04,1.4032799999999999,1.4202,1.3866
1995-10-05,1.40193,0.0,0.0
1995-10-06,1.4022,1.4191,1.3855
1995-10-09,1.40317,1.4194,1.3871
1995-10-10,1.40412,1.4197,1.3887
1995-10-11,1.4038700000000002,1.4201,1.3878
1995-10-12,1.4029200000000002,1.4198,1.3862
1995-10-13,1.4029200000000002,0.0,0.0
1995-10-16,1.4029200000000002,0.0,0.0
1995-10-17,1.4029200000000002,0.0,0.0
1995-10-18,1.40317,1.4194,1.3871
1995-10-19,1.40317,0.0,0.0
1995-10-20,1.4029200000000002,1.4198,1.3862
1995-10-23,1.40739,1.4248,1.3902
1995-10-24,1.41032,1.4269,1.3939
1995-10-25,1.41018,1.4276,1.393
1995-10-26,1.41032,1.4269,1.3939
1995-10-27,1.41032,0.0,0.0
1995-10-30,1.41031,1.4261,1.3947
1995-10-31,1.40975,1.4269999999999998,1.3927
1995-11-01,1.40994,1.4257,1.3944
1995-11-02,1.41039,1.4269999999999998,1.3940000000000001
1995-11-03,1.41039,0.0,0.0
1995-11-06,1.41039,0.0,0.0
1995-11-07,1.41039,0.0,0.0
1995-11-08,1.41039,0.0,0.0
1995-11-09,1.41039,0.0,0.0
1995-11-10,1.41039,0.0,0.0
1995-11-13,1.41031,1.4261,1.3947
1995-11-14,1.41031,0.0,0.0
1995-11-15,1.41039,1.4269999999999998,1.3940000000000001
1995-11-16,1.41039,0.0,0.0
1995-11-17,1.41039,0.0,0.0
1995-11-20,1.41039,0.0,0.0
1995-11-21,1.41039,0.0,0.0
1995-11-22,1.41039,0.0,0.0
1995-11-23,1.41039,0.0,0.0
1995-11-24,1.41039,0.0,0.0
1995-11-27,1.41039,0.0,0.0
1995-11-28,1.41039,0.0,0.0
1995-11-29,1.41018,1.4276,1.393
1995-11-30,1.41032,1.4269,1.3939
1995-12-01,1.41032,0.0,0.0
1995-12-04,1.41031,1.4261,1.3947
1995-12-05,1.41039,1.4269999999999998,1.3940000000000001
1995-12-06,1.41031,1.4261,1.3947
1995-12-07,1.41039,1.4269999999999998,1.3940000000000001
1995-12-08,1.41039,0.0,0.0
1995-12-11,1.41039,0.0,0.0
1995-12-12,1.41031,1.4261,1.3947
1995-12-13,1.41039,1.4269999999999998,1.3940000000000001
1995-12-14,1.41039,0.0,0.0
1995-12-15,1.41039,0.0,0.0
1995-12-18,1.41039,0.0,0.0
1995-12-19,1.41039,0.0,0.0
1995-12-20,1.41031,1.4261,1.3947
1995-12-21,1.41039,1.4269999999999998,1.3940000000000001
1995-12-22,1.41039,0.0,0.0
1995-12-25,1.41039,0.0,0.0
1995-12-26,1.41039,0.0,0.0
1995-12-27,1.41039,0.0,0.0
1995-12-28,1.41039,0.0,0.0
1995-12-29,1.41039,0.0,0.0
1996-01-01,1.41039,0.0,0.0
1996-01-02,1.41039,0.0,0.0
1996-01-03,1.41039,0.0,0.0
1996-01-04,1.41039,0.0,0.0
1996-01-05,1.41039,0.0,0.0
1996-01-08,1.41039,0.0,0.0
1996-01-09,1.41039,0.0,0.0
1996-01-10,1.41039,0.0,0.0
1996-01-11,1.41039,0.0,0.0
1996-01-12,1.41039,0.0,0.0
1996-01-15,1.41039,0.0,0.0
1996-01-16,1.41031,1.4261,1.3947
1996-01-17,1.41039,1.4269999999999998,1.3940000000000001
1996-01-18,1.41039,0.0,0.0
1996-01-19,1.41039,0.0,0.0
1996-01-22,1.41039,0.0,0.0
1996-01-23,1.41039,0.0,0.0
1996-01-24,1.41039,0.0,0.0
1996-01-25,1.41039,0.0,0.0
1996-01-26,1.41039,0.0,0.0
1996-01-29,1.41039,0.0,0.0
1996-01-30,1.41039,0.0,0.0
1996-01-31,1.41039,0.0,0.0
1996-02-01,1.41039,0.0,0.0
1996-02-02,1.41039,0.0,0.0
1996-02-05,1.41039,0.0,0.0
1996-02-06,1.41039,0.0,0.0
1996-02-07,1.40985,1.4271,1.3928
1996-02-08,1.4101299999999999,1.4267,1.3938
1996-02-09,1.4101299999999999,0.0,0.0
1996-02-12,1.4101299999999999,0.0,0.0
1996-02-13,1.4101299999999999,0.0,0.0
1996-02-14,1.4101299999999999,0.0,0.0
1996-02-15,1.4101299999999999,0.0,0.0
1996-02-16,1.4101299999999999,0.0,0.0
1996-02-19,1.4101299999999999,0.0,0.0
1996-02-20,1.4101299999999999,0.0,0.0
1996-02-21,1.4101299999999999,0.0,0.0
1996-02-22,1.4101299999999999,0.0,0.0
1996-02-23,1.4101299999999999,0.0,0.0
1996-02-26,1.4101299999999999,0.0,0.0
1996-02-27,1.4101299999999999,0.0,0.0
1996-02-28,1.4101299999999999,0.0,0.0
1996-02-29,1.4101299999999999,0.0,0.0
1996-03-01,1.4101299999999999,0.0,0.0
1996-03-04,1.41018,1.4276,1.393
1996-03-05,1.41032,1.4269,1.3939
1996-03-06,1.41032,0.0,0.0
1996-03-07,1.41032,0.0,0.0
1996-03-08,1.41032,0.0,0.0
1996-03-11,1.41032,0.0,0.0
1996-03-12,1.41032,0.0,0.0
1996-03-13,1.41032,0.0,0.0
1996-03-14,1.41032,0.0,0.0
1996-03-15,1.41032,0.0,0.0
1996-03-18,1.41032,0.0,0.0
1996-03-19,1.41032,0.0,0.0
1996-03-20,1.41032,0.0,0.0
1996-03-21,1.41032,0.0,0.0
1996-03-22,1.41032,0.0,0.0
1996-03-25,1.41032,0.0,0.0
1996-03-26,1.41032,0.0,0.0
1996-03-27,1.41032,0.0,0.0
1996-03-28,1.41032,0.0,0.0
1996-03-29,1.41032,0.0,0.0
1996-04-01,1.41032,0.0,0.0
1996-04-02,1.41032,0.0,0.0
1996-04-03,1.41032,0.0,0.0
1996-04-04,1.41032,0.0,0.0
1996-04-05,1.41032,0.0,0.0
1996-04-08,1.41032,0.0,0.0
1996-04-09,1.41032,0.0,0.0
1996-04-10,1.41032,0.0,0.0
1996-04-11,1.41032,0.0,0.0
1996-04-12,1.41032,0.0,0.0
1996-04-15,1.41032,0.0,0.0
1996-04-16,1.41032,0.0,0.0
1996-04-17,1.41032,0.0,0.0
1996-04-18,1.41032,0.0,0.0
1996-04-19,1.41032,0.0,0.0
1996-04-22,1.41032,0.0,0.0
1996-04-23,1.41032,0.0,0.0
1996-04-24,1.41032,0.0,0.0
1996-04-25,1.41032,0.0,0.0
1996-04-26,1.41032,0.0,0.0
1996-04-29,1.41032,0.0,0.0
1996-04-30,1.41032,0.0,0.0
1996-05-01,1.41032,0.0,0.0
1996-05-02,1.41032,0.0,0.0
1996-05-03,1.41032,0.0,0.0
1996-05-06,1.41032,0.0,0.0
1996-05-07,1.41032,0.0,0.0
1996-05-08,1.41032,0.0,0.0
1996-05-09,1.41032,0.0,0.0
1996-05-10,1.41032,0.0,0.0
1996-05-13,1.41032,0.0,0.0
1996-05-14,1.41032,0.0,0.0
1996-05-15,1.41032,0.0,0.0
1996-05-16,1.41032,0.0,0.0
1996-05-17,1.41032,0.0,0.0
1996-05-20,1.41031,1.4261,1.3947
1996-05-21,1.41039,1.4269999999999998,1.3940000000000001
1996-05-22,1.40985,1.4271,1.3928
1996-05-23,1.40982,1.4272,1.3926
1996-05-24,1.40982,0.0,0.0
1996-05-27,1.41032,1.4269,1.3939
1996-05-28,1.41032,0.0,0.0
1996-05-29,1.41032,0.0,0.0
1996-05-30,1.41032,0.0,0.0
1996-05-31,1.41032,0.0,0.0
1996-06-03,1.41032,0.0,0.0
1996-06-04,1.41032,0.0,0.0
1996-06-05,1.41032,0.0,0.0
1996-06-06,1.41032,0.0,0.0
1996-06-07,1.41032,0.0,0.0
1996-06-10,1.41032,0.0,0.0
1996-06-11,1.41032,0.0,0.0
1996-06-12,1.41032,0.0,0.0
1996-06-13,1.41032,0.0,0.0
1996-06-14,1.41032,0.0,0.0
1996-06-17,1.41032,0.0,0.0
1996-06-18,1.41032,0.0,0.0
1996-06-19,1.41032,0.0,0.0
1996-06-20,1.41032,0.0,0.0
1996-06-21,1.41032,0.0,0.0
1996-06-24,1.41032,0.0,0.0
1996-06-25,1.40959,0.0,0.0
1996-06-26,1.40959,0.0,0.0
1996-06-27,1.4093200000000001,1.4266,1.3922
1996-06-28,1.4093200000000001,0.0,0.0
1996-07-01,1.4093200000000001,0.0,0.0
1996-07-02,1.4093200000000001,0.0,0.0
1996-07-03,1.4092,0.0,0.0
1996-07-04,1.4092,0.0,0.0
1996-07-05,1.4092,0.0,0.0
1996-07-08,1.4092,0.0,0.0
1996-07-09,1.4092,0.0,0.0
1996-07-10,1.4092,0.0,0.0
1996-07-11,1.4092,0.0,0.0
1996-07-12,1.4092,0.0,0.0
1996-07-15,1.4092,0.0,0.0
1996-07-16,1.4092,0.0,0.0
1996-07-17,1.4092,0.0,0.0
1996-07-18,1.4092,0.0,0.0
1996-07-19,1.4092,0.0,0.0
1996-07-22,1.4092,0.0,0.0
1996-07-23,1.4092,0.0,0.0
1996-07-24,1.4092,0.0,0.0
1996-07-25,1.4092,0.0,0.0
1996-07-26,1.4092,0.0,0.0
1996-07-29,1.4092,0.0,0.0
1996-07-30,1.4092,0.0,0.0
1996-07-31,1.4092,0.0,0.0
1996-08-01,1.4092,0.0,0.0
1996-08-02,1.4092,0.0,0.0
1996-08-05,1.4092,0.0,0.0
1996-08-06,1.4092,0.0,0.0
1996-08-07,1.4093200000000001,1.4266,1.3922
1996-08-08,1.4092,0.0,0.0
1996-08-09,1.4092,0.0,0.0
1996-08-12,1.4092,0.0,0.0
1996-08-13,1.4092,0.0,0.0
1996-08-14,1.4092,0.0,0.0
1996-08-15,1.4092,0.0,0.0
1996-08-16,1.4092,0.0,0.0
1996-08-19,1.4092,0.0,0.0
1996-08-20,1.4092,0.0,0.0
1996-08-21,1.4092,0.0,0.0
1996-08-22,1.4092,0.0,0.0
1996-08-23,1.4092,0.0,0.0
1996-08-26,1.4092,0.0,0.0
1996-08-27,1.4092,0.0,0.0
1996-08-28,1.4092,0.0,0.0
1996-08-29,1.4092,0.0,0.0
1996-08-30,1.4092,0.0,0.0
1996-09-02,1.4092,0.0,0.0
1996-09-03,1.4092,0.0,0.0
1996-09-04,1.4092,0.0,0.0
1996-09-05,1.4092,0.0,0.0
1996-09-06,1.4092,0.0,0.0
1996-09-09,1.4093200000000001,1.4266,1.3922
1996-09-10,1.4092,0.0,0.0
1996-09-11,1.4092,0.0,0.0
1996-09-12,1.4092,0.0,0.0
1996-09-13,1.4092,0.0,0.0
1996-09-16,1.4092,0.0,0.0
1996-09-17,1.4092,0.0,0.0
1996-09-18,1.4092,0.0,0.0
1996-09-19,1.4092,0.0,0.0
1996-09-20,1.4092,0.0,0.0
1996-09-23,1.4092,0.0,0.0
1996-09-24,1.4092,0.0,0.0
1996-09-25,1.4092,0.0,0.0
1996-09-26,1.4092,0.0,0.0
1996-09-27,1.4092,0.0,0.0
1996-09-30,1.4092,0.0,0.0
1996-10-01,1.4092,0.0,0.0
1996-10-02,1.4092,0.0,0.0
1996-10-03,1.4092,0.0,0.0
1996-10-04,1.4092,0.0,0.0
1996-10-07,1.4092,0.0,0.0
1996-10-08,1.4092,0.0,0.0
1996-10-09,1.4092,0.0,0.0
1996-10-10,1.4092,0.0,0.0
1996-10-11,1.4092,0.0,0.0
1996-10-14,1.4092,0.0,0.0
1996-10-15,1.4092,0.0,0.0
1996-10-16,1.4092,0.0,0.0
1996-10-17,1.4092,0.0,0.0
1996-10-18,1.4092,0.0,0.0
1996-10-21,1.4092,0.0,0.0
1996-10-22,1.4093200000000001,1.4266,1.3922
1996-10-23,1.4093200000000001,0.0,0.0
1996-10-24,1.4093200000000001,0.0,0.0
1996-10-25,1.4093200000000001,0.0,0.0
1996-10-28,1.4093200000000001,0.0,0.0
1996-10-29,1.4092,0.0,0.0
1996-10-30,1.4092,0.0,0.0
1996-10-31,1.4092,0.0,0.0
1996-11-01,1.4092,0.0,0.0
1996-11-04,1.4092,0.0,0.0
1996-11-05,1.4092,0.0,0.0
1996-11-06,1.4092,0.0,0.0
1996-11-07,1.4092,0.0,0.0
1996-11-08,1.4092,0.0,0.0
1996-11-11,1.4092,0.0,0.0
1996-11-12,1.4092,0.0,0.0
1996-11-13,1.4092,0.0,0.0
1996-11-14,1.4092,0.0,0.0
1996-11-15,1.4092,0.0,0.0
1996-11-18,1.4092,0.0,0.0
1996-11-19,1.4092,0.0,0.0
1996-11-20,1.4092,0.0,0.0
1996-11-21,1.4092,0.0,0.0
1996-11-22,1.4092,0.0,0.0
1996-11-25,1.4092,0.0,0.0
1996-11-26,1.4092,0.0,0.0
1996-11-27,1.4092,0.0,0.0
1996-11-28,1.4092,0.0,0.0
1996-11-29,1.4092,0.0,0.0
1996-12-02,1.4092,0.0,0.0
1996-12-03,1.4092,0.0,0.0
1996-12-04,1.4092,0.0,0.0
1996-12-05,1.4092,0.0,0.0
1996-12-06,1.4092,0.0,0.0
1996-12-09,1.4092,0.0,0.0
1996-12-10,1.4092,0.0,0.0
1996-12-11,1.4092,0.0,0.0
1996-12-12,1.4092,0.0,0.0
1996-12-13,1.4092,0.0,0.0
1996-12-16,1.4092,0.0,0.0
1996-12-17,1.4092,0.0,0.0
1996-12-18,1.4092,0.0,0.0
1996-12-19,1.4092,0.0,0.0
1996-12-20,1.4092,0.0,0.0
1996-12-23,1.4092,0.0,0.0
1996-12-24,1.4092,0.0,0.0
1996-12-25,1.4092,0.0,0.0
1996-12-26,1.4092,0.0,0.0
1996-12-27,1.4092,0.0,0.0
1996-12-30,1.4092,0.0,0.0
1996-12-31,1.4092,0.0,0.0
1997-01-01,1.4092,0.0,0.0
1997-01-02,1.4092,0.0,0.0
1997-01-03,1.4092,0.0,0.0
1997-01-06,1.4092,0.0,0.0
1997-01-07,1.4092,0.0,0.0
1997-01-08,1.4092,0.0,0.0
1997-01-09,1.4092,0.0,0.0
1997-01-10,1.4092,0.0,0.0
1997-01-13,1.4092,0.0,0.0
1997-01-14,1.4092,0.0,0.0
1997-01-15,1.4092,0.0,0.0
1997-01-16,1.4092,0.0,0.0
1997-01-17,1.4092,0.0,0.0
1997-01-20,1.4092,0.0,0.0
1997-01-21,1.4092,0.0,0.0
1997-01-22,1.4092,0.0,0.0
1997-01-23,1.4092,0.0,0.0
1997-01-24,1.4092,0.0,0.0
1997-01-27,1.4092,0.0,0.0
1997-01-28,1.4092,0.0,0.0
1997-01-29,1.4092,0.0,0.0
1997-01-30,1.4092,0.0,0.0
1997-01-31,1.4092,0.0,0.0
1997-02-03,1.4092,0.0,0.0
1997-02-04,1.4092,0.0,0.0
1997-02-05,1.4092,0.0,0.0
1997-02-06,1.4092,0.0,0.0
1997-02-07,1.4092,0.0,0.0
1997-02-10,1.4092,0.0,0.0
1997-02-11,1.4092,0.0,0.0
1997-02-12,1.4092,0.0,0.0
1997-02-13,1.4092,0.0,0.0
1997-02-14,1.4092,0.0,0.0
1997-02-17,1.40995,1.4265,1.3936
1997-02-18,1.40995,0.0,0.0
1997-02-19,1.40995,0.0,0.0
1997-02-20,1.40995,0.0,0.0
1997-02-21,1.40995,0.0,0.0
1997-02-24,1.40995,0.0,0.0
1997-02-25,1.40995,0.0,0.0
1997-02-26,1.40995,0.0,0.0
1997-02-27,1.40995,0.0,0.0
1997-02-28,1.40995,0.0,0.0
1997-03-03,1.40995,0.0,0.0
1997-03-04,1.40995,0.0,0.0
1997-03-05,1.40995,0.0,0.0
1997-03-06,1.40995,0.0,0.0
1997-03-07,1.40995,0.0,0.0
1997-03-10,1.40995,0.0,0.0
1997-03-11,1.40995,0.0,0.0
1997-03-12,1.40995,0.0,0.0
1997-03-13,1.40995,0.0,0.0
1997-03-14,1.40995,0.0,0.0
1997-03-17,1.40995,0.0,0.0
1997-03-18,1.40995,0.0,0.0
1997-03-19,1.40995,0.0,0.0
1997-03-20,1.40995,0.0,0.0
1997-03-21,1.40995,0.0,0.0
1997-03-24,1.40995,0.0,0.0
1997-03-25,1.40995,0.0,0.0
1997-03-26,1.40995,0.0,0.0
1997-03-27,1.40995,0.0,0.0
1997-03-28,1.40995,0.0,0.0
1997-03-31,1.40995,0.0,0.0
1997-04-01,1.40995,0.0,0.0
1997-04-02,1.40995,0.0,0.0
1997-04-03,1.40995,0.0,0.0
1997-04-04,1.40995,0.0,0.0
1997-04-07,1.40995,0.0,0.0
1997-04-08,1.40995,0.0,0.0
1997-04-09,1.40995,0.0,0.0
1997-04-10,1.40995,0.0,0.0
1997-04-11,1.40995,0.0,0.0
1997-04-14,1.40995,0.0,0.0
1997-04-15,1.40995,0.0,0.0
1997-04-16,1.40995,0.0,0.0
1997-04-17,1.40995,0.0,0.0
1997-04-18,1.40995,0.0,0.0
1997-04-21,1.40995,0.0,0.0
1997-04-22,1.40995,0.0,0.0
1997-04-23,1.40995,0.0,0.0
1997-04-24,1.40995,0.0,0.0
1997-04-25,1.40995,0.0,0.0
1997-04-28,1.40995,0.0,0.0
1997-04-29,1.40995,0.0,0.0
1997-04-30,1.40995,0.0,0.0
